country_region_code,country_region,sub_region_1,sub_region_2,metro_area,iso_3166_2_code,census_fips_code,date,retail,grocery,parks,transit,work,residential
TH,Thailand,,,,,,2/15/2020,-3,1,-8,-2,7,1
TH,Thailand,,,,,,2/16/2020,-3,2,-5,-4,2,2
TH,Thailand,,,,,,2/17/2020,-3,1,-3,-4,2,1
TH,Thailand,,,,,,2/18/2020,-3,0,-5,-6,0,2
TH,Thailand,,,,,,2/19/2020,-4,-3,-3,-6,0,1
TH,Thailand,,,,,,2/20/2020,-4,-2,-3,-4,1,1
TH,Thailand,,,,,,2/21/2020,-4,1,-4,-5,1,2
TH,Thailand,,,,,,2/22/2020,-4,0,-12,-6,4,2
TH,Thailand,,,,,,2/23/2020,-5,0,-7,-8,2,2
TH,Thailand,,,,,,2/24/2020,-4,-1,-6,-7,0,2
TH,Thailand,,,,,,2/25/2020,-2,3,-6,-7,-2,2
TH,Thailand,,,,,,2/26/2020,-3,0,-6,-8,-1,2
TH,Thailand,,,,,,2/27/2020,-4,-1,-7,-8,-1,2
TH,Thailand,,,,,,2/28/2020,-1,5,-7,-6,-1,2
TH,Thailand,,,,,,2/29/2020,-1,6,-14,-7,5,1
TH,Thailand,,,,,,3/1/2020,-1,9,-9,-8,3,1
TH,Thailand,,,,,,3/2/2020,1,8,-7,-9,-2,2
TH,Thailand,,,,,,3/3/2020,0,5,-8,-10,-4,3
TH,Thailand,,,,,,3/4/2020,-1,2,-9,-11,-4,3
TH,Thailand,,,,,,3/5/2020,-3,2,-8,-9,-4,3
TH,Thailand,,,,,,3/6/2020,-5,2,-9,-11,-6,4
TH,Thailand,,,,,,3/7/2020,-6,1,-16,-13,2,3
TH,Thailand,,,,,,3/8/2020,-7,1,-11,-15,1,2
TH,Thailand,,,,,,3/9/2020,-4,1,-8,-13,-6,4
TH,Thailand,,,,,,3/10/2020,-3,1,-8,-13,-7,4
TH,Thailand,,,,,,3/11/2020,-4,0,-8,-15,-7,4
TH,Thailand,,,,,,3/12/2020,-6,-1,-9,-15,-7,4
TH,Thailand,,,,,,3/13/2020,-8,0,-12,-17,-7,5
TH,Thailand,,,,,,3/14/2020,-11,-1,-21,-20,3,3
TH,Thailand,,,,,,3/15/2020,-15,-1,-22,-23,-2,4
TH,Thailand,,,,,,3/16/2020,-8,4,-14,-18,-10,5
TH,Thailand,,,,,,3/17/2020,-9,1,-15,-21,-12,6
TH,Thailand,,,,,,3/18/2020,-12,-3,-16,-24,-13,7
TH,Thailand,,,,,,3/19/2020,-16,-6,-18,-26,-14,8
TH,Thailand,,,,,,3/20/2020,-20,-5,-24,-30,-15,9
TH,Thailand,,,,,,3/21/2020,-24,-4,-35,-33,-4,8
TH,Thailand,,,,,,3/22/2020,-36,-10,-35,-41,-10,9
TH,Thailand,,,,,,3/23/2020,-32,-11,-29,-39,-20,11
TH,Thailand,,,,,,3/24/2020,-34,-8,-32,-42,-23,12
TH,Thailand,,,,,,3/25/2020,-35,-8,-34,-42,-24,12
TH,Thailand,,,,,,3/26/2020,-43,-18,-40,-50,-26,15
TH,Thailand,,,,,,3/27/2020,-46,-19,-44,-54,-26,17
TH,Thailand,,,,,,3/28/2020,-51,-25,-55,-57,-14,16
TH,Thailand,,,,,,3/29/2020,-55,-27,-54,-61,-21,16
