location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,new_tests,total_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index
Malaysia,1/25/2020,3,3,,,,,0.093,0.093,,,,,,,,,,,,,,11.11,32365998,96.254,29.9,6.293,3.407,26808.164,0.1,260.942,16.74,1,42.4,,1.9,76.16,0.802
Malaysia,1/26/2020,4,1,,,,,0.124,0.031,,,,,,,,,,,,,,11.11,32365998,96.254,29.9,6.293,3.407,26808.164,0.1,260.942,16.74,1,42.4,,1.9,76.16,0.802
Malaysia,1/27/2020,4,0,,,,,0.124,0,,,,,,,,,,,,,,11.11,32365998,96.254,29.9,6.293,3.407,26808.164,0.1,260.942,16.74,1,42.4,,1.9,76.16,0.802
Malaysia,1/28/2020,4,0,,,,,0.124,0,,,,,,,,,,,,,,11.11,32365998,96.254,29.9,6.293,3.407,26808.164,0.1,260.942,16.74,1,42.4,,1.9,76.16,0.802
Malaysia,1/29/2020,7,3,,,,,0.216,0.093,,,,,,,,,,,,,,11.11,32365998,96.254,29.9,6.293,3.407,26808.164,0.1,260.942,16.74,1,42.4,,1.9,76.16,0.802
Malaysia,1/30/2020,8,1,1.143,,,0,0.247,0.031,0.035,,,0,,,,,,,,,,19.44,32365998,96.254,29.9,6.293,3.407,26808.164,0.1,260.942,16.74,1,42.4,,1.9,76.16,0.802
Malaysia,1/31/2020,8,0,1.143,,,0,0.247,0,0.035,,,0,,,,,,,,,,19.44,32365998,96.254,29.9,6.293,3.407,26808.164,0.1,260.942,16.74,1,42.4,,1.9,76.16,0.802
Malaysia,2/1/2020,8,0,0.714,,,0,0.247,0,0.022,,,0,,,,,,,,,,19.44,32365998,96.254,29.9,6.293,3.407,26808.164,0.1,260.942,16.74,1,42.4,,1.9,76.16,0.802
Malaysia,2/2/2020,8,0,0.571,,,0,0.247,0,0.018,,,0,,,,,,,,,,19.44,32365998,96.254,29.9,6.293,3.407,26808.164,0.1,260.942,16.74,1,42.4,,1.9,76.16,0.802
Malaysia,2/3/2020,8,0,0.571,,,0,0.247,0,0.018,,,0,,,,,,,,,,19.44,32365998,96.254,29.9,6.293,3.407,26808.164,0.1,260.942,16.74,1,42.4,,1.9,76.16,0.802
Malaysia,2/4/2020,10,2,0.857,,,0,0.309,0.062,0.026,,,0,,,,,,,,,,19.44,32365998,96.254,29.9,6.293,3.407,26808.164,0.1,260.942,16.74,1,42.4,,1.9,76.16,0.802
Malaysia,2/5/2020,12,2,0.714,,,0,0.371,0.062,0.022,,,0,,,,,,,,,,19.44,32365998,96.254,29.9,6.293,3.407,26808.164,0.1,260.942,16.74,1,42.4,,1.9,76.16,0.802
Malaysia,2/6/2020,12,0,0.571,,,0,0.371,0,0.018,,,0,,,,,,,,,,19.44,32365998,96.254,29.9,6.293,3.407,26808.164,0.1,260.942,16.74,1,42.4,,1.9,76.16,0.802
Malaysia,2/7/2020,12,0,0.571,,,0,0.371,0,0.018,,,0,,,,,,,,,,19.44,32365998,96.254,29.9,6.293,3.407,26808.164,0.1,260.942,16.74,1,42.4,,1.9,76.16,0.802
Malaysia,2/8/2020,16,4,1.143,,,0,0.494,0.124,0.035,,,0,,,,,,,,,,19.44,32365998,96.254,29.9,6.293,3.407,26808.164,0.1,260.942,16.74,1,42.4,,1.9,76.16,0.802
Malaysia,2/9/2020,16,0,1.143,,,0,0.494,0,0.035,,,0,,,,,,,,,,19.44,32365998,96.254,29.9,6.293,3.407,26808.164,0.1,260.942,16.74,1,42.4,,1.9,76.16,0.802
Malaysia,2/10/2020,18,2,1.429,,,0,0.556,0.062,0.044,,,0,,,,,,,,,,19.44,32365998,96.254,29.9,6.293,3.407,26808.164,0.1,260.942,16.74,1,42.4,,1.9,76.16,0.802
Malaysia,2/11/2020,18,0,1.143,,,0,0.556,0,0.035,,,0,,,,,,,,,,19.44,32365998,96.254,29.9,6.293,3.407,26808.164,0.1,260.942,16.74,1,42.4,,1.9,76.16,0.802
Malaysia,2/12/2020,18,0,0.857,,,0,0.556,0,0.026,,,0,,,,,,,,,,19.44,32365998,96.254,29.9,6.293,3.407,26808.164,0.1,260.942,16.74,1,42.4,,1.9,76.16,0.802
Malaysia,2/13/2020,19,1,1,,,0,0.587,0.031,0.031,,,0,,,,,,,,,,19.44,32365998,96.254,29.9,6.293,3.407,26808.164,0.1,260.942,16.74,1,42.4,,1.9,76.16,0.802
